Using dataset of 200 samples for training.
✅ Found 200 pairs out of 200 listed in CSV.
Using cpu device
Logging to runs/601mft6k/PPO_1
---------------------------------
| rollout/           |          |
|    policy_gradient_loss | -0.00207     |
|    value_loss           | 23.6         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -23.6       |
| time/                   |             |
|    fps                  | 603         |
|    iterations           | 486         |
|    time_elapsed         | 1649        |
|    total_timesteps      | 995328      |
| train/                  |             |
|    approx_kl            | 0.010643487 |
|    clip_fraction        | 0.0966      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.05       |
|    explained_variance   | 0.0298      |
|    learning_rate        | 0.0003      |
|    loss                 | 12.6        |
|    n_updates            | 4850        |
|    policy_gradient_loss | -0.00228    |
|    value_loss           | 25.2        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -23.1        |
| time/                   |              |
|    fps                  | 603          |
|    iterations           | 487          |
|    time_elapsed         | 1653         |
|    total_timesteps      | 997376       |
| train/                  |              |
|    approx_kl            | 0.0010653838 |
|    clip_fraction        | 0.0492       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.04        |
|    explained_variance   | 0.016        |
|    learning_rate        | 0.0003       |
|    loss                 | 13.7         |
|    n_updates            | 4860         |
|    policy_gradient_loss | -0.00097     |
|    value_loss           | 27.3         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -22.4       |
| time/                   |             |
|    fps                  | 603         |
|    iterations           | 488         |
|    time_elapsed         | 1656        |
|    total_timesteps      | 999424      |
| train/                  |             |
|    approx_kl            | 0.009854505 |
|    clip_fraction        | 0.0889      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.04       |
|    explained_variance   | 0.0366      |
|    learning_rate        | 0.0003      |
|    loss                 | 13          |
|    n_updates            | 4870        |
|    policy_gradient_loss | -0.00361    |
|    value_loss           | 27.1        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -22          |
| time/                   |              |
|    fps                  | 603          |
|    iterations           | 489          |
|    time_elapsed         | 1660         |
|    total_timesteps      | 1001472      |
| train/                  |              |
|    approx_kl            | 0.0028231184 |
|    clip_fraction        | 0.0433       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.04        |
|    explained_variance   | 0.0325       |
|    learning_rate        | 0.0003       |
|    loss                 | 12.1         |
|    n_updates            | 4880         |
|    policy_gradient_loss | 0.000217     |
|    value_loss           | 23.8         |
------------------------------------------
Preparing testing set.
✅ Found 100 pairs out of 100 listed in CSV.
Saved GIF for episode 0 at TEST_RESULTS_GIFS/episode_0_002_58.gif
